text,emotions
I love this new AI technology! It's amazing!,"{'joy': 0.8, 'positive': 0.9}"
This software is so frustrating and buggy,"{'anger': 0.7, 'negative': 0.8}"
Feeling anxious about the upcoming tech conference,"{'fear': 0.6, 'negative': 0.4}"
Wow! This new framework is incredible!,"{'surprise': 0.8, 'joy': 0.7}"
Sad that the startup I worked for shut down,"{'sadness': 0.9, 'negative': 0.7}"
Excited to start my new job at the tech company!,"{'anticipation': 0.8, 'joy': 0.6}"
Trust this team to deliver quality software,"{'trust': 0.7, 'positive': 0.5}"
Disgusted by the unethical practices in tech,"{'disgust': 0.8, 'negative': 0.6}"
Reading about machine learning algorithms,"{'anticipation': 0.4, 'positive': 0.3}"
Working on a challenging programming problem,"{'anticipation': 0.5, 'positive': 0.4}"
Angry about the data breach at the company,"{'anger': 0.8, 'fear': 0.6}"
Happy with the results of my coding project,"{'joy': 0.8, 'positive': 0.7}"
Surprised by the new features in the update,"{'surprise': 0.7, 'positive': 0.5}"
Disappointed with the performance of the app,"{'sadness': 0.6, 'negative': 0.7}"
Optimistic about the future of AI technology,"{'anticipation': 0.7, 'positive': 0.6}"
